Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
mRNA_375,Cell membrane,Transmembrane domain,Transmembrane,0.20010000467300415,0.05270000174641609,0.06859999895095825,0.916100025177002,0.08269999921321869,0.02710000053048134,0.3312000036239624,0.2337000072002411,0.2531000077724457,0.08020000159740448,0.029200000688433647,0.9772999882698059,0.22840000689029694,0.15360000729560852
mRNA_757,Cell membrane,Transmembrane domain,Transmembrane,0.2240000069141388,0.05739999935030937,0.07850000262260437,0.8407999873161316,0.07270000129938126,0.034699998795986176,0.326200008392334,0.40689998865127563,0.2653000056743622,0.034699998795986176,0.033799998462200165,0.9671000242233276,0.3416000008583069,0.12049999833106995
mRNA_1412,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.2849999964237213,0.1737000048160553,0.06340000033378601,0.6069999933242798,0.08169999718666077,0.05490000173449516,0.5144000053405762,0.6075000166893005,0.25380000472068787,0.03319999948143959,0.030400000512599945,0.9678999781608582,0.3508000075817108,0.11169999837875366
mRNA_1730,Cell membrane,Transmembrane domain,Transmembrane,0.26019999384880066,0.0851999968290329,0.061500001698732376,0.870199978351593,0.10750000178813934,0.03200000151991844,0.3686999976634979,0.2824999988079071,0.218299999833107,0.03700000047683716,0.04569999873638153,0.9718999862670898,0.24449999630451202,0.12720000743865967
mRNA_2489,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.29919999837875366,0.1500999927520752,0.05559999868273735,0.5720999836921692,0.08179999887943268,0.056699998676776886,0.5033000111579895,0.6212000250816345,0.24250000715255737,0.058400001376867294,0.03620000183582306,0.9713000059127808,0.36320000886917114,0.11069999635219574
mRNA_3001,Cell membrane,Transmembrane domain,Transmembrane,0.24199999868869781,0.07760000228881836,0.06539999693632126,0.8661999702453613,0.1137000024318695,0.031099999323487282,0.39649999141693115,0.275299996137619,0.23669999837875366,0.04320000112056732,0.04569999873638153,0.9689000248908997,0.2485000044107437,0.13089999556541443
mRNA_3457,Cell membrane,Transmembrane domain,Transmembrane,0.2190999984741211,0.0674000009894371,0.0803999975323677,0.8431000113487244,0.06589999794960022,0.030300000682473183,0.3147999942302704,0.4058000147342682,0.23389999568462372,0.02879999950528145,0.03319999948143959,0.9667999744415283,0.3382999897003174,0.12240000069141388
mRNA_4038,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.2888000011444092,0.1656000018119812,0.06430000066757202,0.6037999987602234,0.0786999985575676,0.061799999326467514,0.510200023651123,0.6154000163078308,0.2529999911785126,0.03220000118017197,0.030400000512599945,0.9672999978065491,0.3517000079154968,0.11249999701976776
mRNA_4380,Cell membrane,Transmembrane domain,Transmembrane,0.2606000006198883,0.08630000054836273,0.0608999989926815,0.8683000206947327,0.10840000212192535,0.033900000154972076,0.3637999892234802,0.2840000092983246,0.21870000660419464,0.03920000046491623,0.04580000042915344,0.972100019454956,0.23929999768733978,0.1273999959230423
mRNA_4934,Cell membrane,,Transmembrane,0.2305999994277954,0.11479999870061874,0.06960000097751617,0.6855999827384949,0.09529999643564224,0.12549999356269836,0.44200000166893005,0.5479999780654907,0.28040000796318054,0.05220000073313713,0.04019999876618385,0.970300018787384,0.3010999858379364,0.11550000309944153
mRNA_5665,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.29919999837875366,0.1500999927520752,0.05559999868273735,0.5720999836921692,0.08179999887943268,0.056699998676776886,0.5033000111579895,0.6212000250816345,0.24250000715255737,0.058400001376867294,0.03620000183582306,0.9713000059127808,0.36320000886917114,0.11069999635219574
mRNA_6163,Cell membrane,Transmembrane domain,Transmembrane,0.24199999868869781,0.07760000228881836,0.06539999693632126,0.8661999702453613,0.1137000024318695,0.031099999323487282,0.39649999141693115,0.275299996137619,0.23669999837875366,0.04320000112056732,0.04569999873638153,0.9689000248908997,0.2485000044107437,0.13089999556541443
mRNA_6610,Cell membrane,Transmembrane domain,Transmembrane,0.21979999542236328,0.06650000065565109,0.08100000023841858,0.8416000008583069,0.06650000065565109,0.029500000178813934,0.3163999915122986,0.40799999237060547,0.24169999361038208,0.029100000858306885,0.03350000083446503,0.9668999910354614,0.34150001406669617,0.12229999899864197
mRNA_7171,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.2856999933719635,0.17059999704360962,0.06279999762773514,0.60589998960495,0.08079999685287476,0.05480000004172325,0.5109999775886536,0.6064000129699707,0.25519999861717224,0.03220000118017197,0.029999999329447746,0.9678999781608582,0.3513999879360199,0.11219999939203262
mRNA_7562,Cell membrane,Transmembrane domain,Transmembrane,0.25949999690055847,0.08659999817609787,0.0617000013589859,0.8694000244140625,0.10890000313520432,0.03280000016093254,0.36890000104904175,0.2808000147342682,0.21610000729560852,0.03779999911785126,0.045899998396635056,0.9718000292778015,0.24040000140666962,0.12780000269412994
mRNA_8210,Cell membrane,,Transmembrane,0.23440000414848328,0.11900000274181366,0.0608999989926815,0.6636000275611877,0.09300000220537186,0.11969999969005585,0.44200000166893005,0.5371000170707703,0.26910001039505005,0.0478999987244606,0.04390000179409981,0.9686999917030334,0.2757999897003174,0.11509999632835388
mRNA_8797,Cell membrane|Lysosome/Vacuole,,Transmembrane,0.29919999837875366,0.1500999927520752,0.05559999868273735,0.5720999836921692,0.08179999887943268,0.056699998676776886,0.5033000111579895,0.6212000250816345,0.24250000715255737,0.058400001376867294,0.03620000183582306,0.9713000059127808,0.36320000886917114,0.11069999635219574
mRNA_9287,Cell membrane,Transmembrane domain,Transmembrane,0.24199999868869781,0.07760000228881836,0.06539999693632126,0.8661999702453613,0.1137000024318695,0.031099999323487282,0.39649999141693115,0.275299996137619,0.23669999837875366,0.04320000112056732,0.04569999873638153,0.9689000248908997,0.2485000044107437,0.13089999556541443
